Problem no.,Oxalate-2,La2-(Oxalate)3(s),Nd2-(Oxalate)3(s),Gd2(Oxalate)3(s),Ce2(Oxalate)3(s),Y2(Oxalate)3(s),Sm2(Oxalate)3(s),Sc2(Oxalate)3(s),Pr2(Oxalate)3(s),Dy2(Oxalate)3(s),Al-Oxalate(s),Ca-Oxalate:3H2O(s),FE-Oxalate(s)
1,0.00011875,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
2,0.47511875,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
3,0.95011875,1.00E-08,0.305626817,1.00E-08,0.128568119,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
4,1.42511875,1.00E-08,0.673270974,1.00E-08,0.594821594,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08,1.00E-08
5,1.90011875,1.00E-08,0.788727947,1.00E-08,0.740500463,1.00E-08,0.10555048,1.00E-08,0.250541039,1.00E-08,1.00E-08,1.00E-08,1.00E-08
6,2.37511875,1.00E-08,0.864795885,1.00E-08,0.836017146,1.00E-08,0.433432313,1.00E-08,0.525799381,1.00E-08,1.00E-08,1.00E-08,1.00E-08
7,2.85011875,1.00E-08,0.914946521,0.242136459,0.89857507,1.00E-08,0.648393483,1.00E-08,0.706168888,1.00E-08,1.00E-08,1.00E-08,1.00E-08
8,3.32511875,1.00E-08,0.946126219,0.52864215,0.937152456,1.00E-08,0.78117862,1.00E-08,0.817473296,1.00E-08,1.00E-08,1.00E-08,1.00E-08
9,3.80011875,0.108284952,0.963689466,0.688253519,0.958584337,0.014771199,0.855108878,1.00E-08,0.879440521,1.00E-08,1.00E-08,1.00E-08,1.00E-08
10,4.27511875,0.342141413,0.972740788,0.769599919,0.96947405,0.269114505,0.892873458,1.00E-08,0.910963432,0.091353859,1.00E-08,1.00E-08,1.00E-08
11,4.75011875,0.524506246,0.979871334,0.833080757,0.977988879,0.467999166,0.922338968,1.00E-08,0.93559723,0.339549316,1.00E-08,1.00E-08,1.00E-08
12,5.22511875,0.66043751,0.985252135,0.880464067,0.984302595,0.616797832,0.944266788,0.139824927,0.953933405,0.525094897,1.00E-08,1.00E-08,1.00E-08
13,5.70011875,0.76034161,0.989264712,0.91535327,0.988994439,0.726689946,0.960484239,0.274070438,0.967433283,0.661987106,1.00E-08,1.00E-08,1.00E-08
14,6.17511875,0.832240423,0.992211654,0.940509867,0.992296108,0.806222963,0.972209533,0.389053872,0.977175464,0.760950774,1.00E-08,1.00E-08,1.00E-08
15,6.65011875,0.881965683,0.9942903,0.95793763,0.994613068,0.861625059,0.980280189,0.484353908,0.983890609,0.829788516,1.00E-08,1.00E-08,0.003331356
16,7.12511875,0.894030895,0.99481654,0.96219775,0.995192308,0.875306197,0.982259784,0.517936761,0.985560697,0.846749413,1.00E-08,1.00E-08,0.09889175
17,7.60011875,0.905707325,0.995342779,0.966323163,0.995713624,0.888570386,0.984239379,0.550906042,0.987126405,0.863168042,1.00E-08,1.00E-08,0.19028322
