Year,Month,States,Cents/kWh,CEPCI,2021 cents/kWh,2021_$/kWh,Year,CEPCI,source,,PA_2021_$/kWh
2025,9,AK,18.93,810.4,16.55674235,0.165567423,2025,810.4,https://www.chemengonline.com/plant-cost-index-beta/,,0.079766239
2025,9,AL,7.81,810.4,6.830858835,0.068308588,2024,800,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.084839092
2025,9,AR,7.19,810.4,6.288588351,0.062885884,2023,797.9,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0862385
2025,9,AZ,8.23,810.4,7.198203356,0.071982034,2022,816,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.081340573
2025,9,CA,25.5,810.4,22.30306022,0.223030602,2021,708.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.07451846
2025,9,CO,9.26,810.4,8.099072063,0.080990721,2020,596.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.075130701
2025,9,CT,17.99,810.4,15.73459033,0.157345903,2019,607.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.075655479
2025,9,DC,11.66,810.4,10.19818361,0.101981836,2018,603.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.079678776
2025,9,DE,8.7,810.4,7.609279368,0.076092794,2017,567.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.078279368
2025,9,FL,9.07,810.4,7.932892399,0.079328924,2016,541.7,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0700826
2025,9,GA,7.47,810.4,6.533484699,0.065334847,2015,556.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0688422
2025,9,HI,30.43,810.4,26.61498519,0.266149852,2014,576.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0693738
2025,9,IA,8.9,810.4,7.784205331,0.077842053,2013,567.3,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0697282
2025,9,ID,8.72,810.4,7.626771964,0.07626772,2012,584.6,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.071766
2025,9,IL,10.88,810.4,9.515972359,0.095159724,2011,585.7,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0700826
2025,9,IN,9.12,810.4,7.976623889,0.079766239,2010,550.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0688422
2025,9,KS,8.16,810.4,7.136979269,0.071369793,2009,521.9,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.068222
2025,9,KY,6.75,810.4,5.903751234,0.059037512,2008,575.4,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0687536
2025,9,LA,6.06,810.4,5.300256663,0.053002567,2007,525.4,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0684878
2025,9,MA,18.52,810.4,16.19814413,0.161981441,2006,499.6,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.0709686
2025,9,MD,12.46,810.4,10.89788746,0.108978875,2005,468.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.071323
2025,9,ME,15.41,810.4,13.47804541,0.134780454,2004,444.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.068135055
2025,9,MI,8.43,810.4,7.373129319,0.073731293,2003,402,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.06884572
2025,9,MN,9.79,810.4,8.562625864,0.085626259,2002,395.6,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.067779722
2025,9,MO,9.44,810.4,8.256505429,0.082565054,2001,394.3,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.066536057
2025,9,MS,7.57,810.4,6.62094768,0.066209477,2000,394.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.066980223
2025,9,MT,7.32,810.4,6.402290227,0.064022902,1999,390.6,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.068135055
2025,9,NC,7.9,810.4,6.909575518,0.069095755,1998,389.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.067157889
2025,9,ND,7.7,810.4,6.734649556,0.067346496,1997,386.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.067690889
2025,9,NE,8.15,810.4,7.128232971,0.07128233,1996,381.7,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.069289886
2025,9,NH,16,810.4,13.994077,0.13994077,1995,381.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.069023386
2025,9,NJ,13.93,810.4,12.18359329,0.121835933,1994,368.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.071599549
2025,9,NM,6.31,810.4,5.518914116,0.055189141,1993,359.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.075330543
2025,9,NV,9.83,810.4,8.597611056,0.085976111,1992,358.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.075136275
2025,9,NY,8.91,810.4,7.792951629,0.077929516,1991,361.3,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.069316471
2025,9,OH,8.75,810.4,7.653010859,0.076530109,1990,357.6,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html,,0.070619412
2025,9,OK,6.71,810.4,5.868766041,0.05868766,,,,,0.076786667
2025,9,OR,8.56,810.4,7.486831194,0.074868312,,,,,0.079913725
2025,9,PA,9.12,810.4,7.976623889,0.079766239,,,,,0.077394706
2025,9,RI,19.53,810.4,17.08152024,0.170815202,,,,,0.074180784
2025,9,SC,7.07,810.4,6.183632774,0.061836328,,,,,0.069837647
2025,9,SD,9.08,810.4,7.941638697,0.079416387,,,,,0.065841961
2025,9,TN,6.7,810.4,5.860019743,0.058600197,,,,,0.063062353
2025,9,TX,6.74,810.4,5.895004936,0.058950049,,,,,0.065668235
2025,9,UT,9.91,810.4,8.667581441,0.086675814,,,,,0.065407647
2025,9,VA,9.69,810.4,8.475162883,0.084751629,,,,,0.0696
2025,9,VT,12.44,810.4,10.88039487,0.108803949,,,,,0.0726
2025,9,WA,7.22,810.4,6.314827246,0.063148272,,,,,0.0695
2025,9,WI,9.31,810.4,8.142803554,0.081428036,,,,,0.0678
2025,9,WV,8.1,810.4,7.084501481,0.070845015,,,,,0.0669
2025,9,WY,8.71,810.4,7.618025666,0.076180257,,,,,0.0653
2025,8,AK,21.26,810.4,18.59462981,0.185946298,,,,,0.0639
2025,8,AL,7.72,810.4,6.752142152,0.067521422,,,,,0.0609
2025,8,AR,7.26,810.4,6.349812438,0.063498124,,,,,0.0608
2025,8,AZ,9.1,810.4,7.959131293,0.079591313,,,,,0.0613
2025,8,CA,24.69,810.4,21.59461007,0.215946101,,,,,0.0645
2025,8,CO,9.8,810.4,8.571372162,0.085713722,,,,,0.061
2025,8,CT,19.07,810.4,16.67919052,0.166791905,,,,,0.072401744
2025,8,DC,7.94,810.4,6.944560711,0.069445607,,,,,0.072639517
2025,8,DE,9.72,810.4,8.501401777,0.085014018,,,,,0.071212882
2025,8,FL,8.96,810.4,7.836683119,0.078366831,,,,,0.072401744
2025,8,GA,8.11,810.4,7.093247779,0.070932478,,,,,0.072520631
2025,8,HI,30.37,810.4,26.5625074,0.265625074,,,,,0.073233948
2025,8,IA,9,810.4,7.871668312,0.078716683,,,,,0.072520631
2025,8,ID,8.67,810.4,7.583040474,0.075830405,,,,,0.073471721
2025,8,IL,10.86,810.4,9.498479763,0.094984798,,,,,0.074185039
2025,8,IN,9.09,810.4,7.950384995,0.07950385,,,,,0.072996176
2025,8,KS,8.07,810.4,7.058262586,0.070582626,,,,,0.076443878
2025,8,KY,7.21,810.4,6.306080948,0.063060809,,,,,0.074898356
2025,8,LA,6.28,810.4,5.492675222,0.054926752,,,,,0.07408856
2025,8,MA,19.5,810.4,17.05528134,0.170552813,,,,,0.07362186
2025,8,MD,11.34,810.4,9.918302073,0.099183021,,,,,0.07385521
2025,8,ME,16.08,810.4,14.06404738,0.140640474,,,,,0.072805136
2025,8,MI,8.42,810.4,7.364383021,0.07364383,,,,,0.074788609
2025,8,MN,9.42,810.4,8.239012833,0.082390128,,,,,0.07338851
2025,8,MO,9.47,810.4,8.282744324,0.082827443,,,,,0.072338436
2025,8,MS,7.37,810.4,6.446021718,0.064460217,,,,,0.073971885
2025,8,MT,7.42,810.4,6.489753208,0.064897532,,,,,0.075955358
2025,8,NC,7.72,810.4,6.752142152,0.067521422,,,,,0.076772082
2025,8,ND,7.64,810.4,6.682171767,0.066821718,,,,,0.077472132
2025,8,NE,8.24,810.4,7.206949654,0.072069497,,,,,0.078522206
2025,8,NH,16.96,810.4,14.83372162,0.148337216,,,,,0.079682706
2025,8,NJ,15.18,810.4,13.27688055,0.132768806,,,,,0.079330128
2025,8,NM,6.5,810.4,5.685093781,0.056850938,,,,,0.079447654
2025,8,NV,9.65,810.4,8.44017769,0.084401777,,,,,0.078507445
2025,8,NY,9.92,810.4,8.676327739,0.086763277,,,,,0.078860023
2025,8,OH,8.59,810.4,7.513070089,0.075130701,,,,,0.079212602
2025,8,OK,6.55,810.4,5.728825271,0.057288253,,,,,0.079095075
2025,8,OR,8.37,810.4,7.32065153,0.073206515,,,,,0.078389919
2025,8,PA,9.7,810.4,8.483909181,0.084839092,,,,,0.078624971
2025,8,RI,20.12,810.4,17.59755183,0.175975518,,,,,0.07803734
2025,8,SC,7.04,810.4,6.15739388,0.061573939,,,,,0.085088907
2025,8,SD,8.67,810.4,7.583040474,0.075830405,,,,,0.090730161
2025,8,TN,6.99,810.4,6.113662389,0.061136624,,,,,0.084431507
2025,8,TX,6.57,810.4,5.746317868,0.057463179,,,,,0.08318252
2025,8,UT,9.3,810.4,8.134057256,0.081340573,,,,,0.085056
2025,8,VA,9.2,810.4,8.046594274,0.080465943,,,,,0.083432317
2025,8,VT,12.27,810.4,10.7317078,0.107317078,,,,,0.082932722
2025,8,WA,6.53,810.4,5.711332675,0.057113327,,,,,0.08318252
2025,8,WI,9.53,810.4,8.335222113,0.083352221,,,,,0.082433128
2025,8,WV,8.23,810.4,7.198203356,0.071982034,,,,,0.084431507
2025,8,WY,8.68,810.4,7.591786772,0.075917868,,,,,0.085930291
2025,7,AK,19.4,810.4,16.96781836,0.169678184,,,,,0.086304987
2025,7,AL,8.08,810.4,7.067008885,0.070670089,,,,,0.086180088
2025,7,AR,7.16,810.4,6.262349457,0.062623495,,,,,0.087429075
2025,7,AZ,9.44,810.4,8.256505429,0.082565054,,,,,0.089107033
2025,7,CA,25.31,810.4,22.13688055,0.221368806,,,,,0.088976186
2025,7,CO,9.67,810.4,8.457670286,0.084576703,,,,,0.08976127
2025,7,CT,18.75,810.4,16.39930898,0.16399309,,,,,0.091462285
2025,7,DC,20.23,810.4,17.69376111,0.176937611,,,,,0.092639911
2025,7,DE,10.81,810.4,9.454748272,0.094547483,,,,,0.08976127
2025,7,FL,8.93,810.4,7.810444225,0.078104442,,,,,0.089368728
2025,7,GA,10.83,810.4,9.472240869,0.094722409,,,,,0.089892117
2025,7,HI,30.29,810.4,26.49253702,0.26492537,,,,,0.090284659
2025,7,IA,9.11,810.4,7.967877591,0.079678776,,,,,0.091331438
2025,7,ID,8.23,810.4,7.198203356,0.071982034,,,,,0.092509064
2025,7,IL,10.6,810.4,9.271076012,0.09271076,,,,,0.091593133
2025,7,IN,9.03,810.4,7.897907206,0.078979072,,,,,0.087199713
2025,7,KS,7.93,810.4,6.935814413,0.069358144,,,,,0.088854598
2025,7,KY,7.26,810.4,6.349812438,0.063498124,,,,,0.090382184
2025,7,LA,6.81,810.4,5.956229023,0.05956229,,,,,0.091400575
2025,7,MA,19.7,810.4,17.23020731,0.172302073,,,,,0.091273276
2025,7,MD,13.67,810.4,11.95618954,0.119561895,,,,,0.091145977
2025,7,ME,15.8,810.4,13.81915104,0.13819151,,,,,0.091145977
2025,7,MI,8.93,810.4,7.810444225,0.078104442,,,,,0.088727299
2025,7,MN,9.78,810.4,8.553879566,0.085538796,,,,,0.090382184
2025,7,MO,9.33,810.4,8.16029615,0.081602962,,,,,0.099929598
2025,7,MS,7.47,810.4,6.533484699,0.065334847,,,,,0.098402011
2025,7,MT,7.7,810.4,6.734649556,0.067346496,,,,,0.089872989
2025,7,NC,7.67,810.4,6.708410661,0.067084107,,,,,0.085877868
2025,7,ND,7.78,810.4,6.804619941,0.068046199,,,,,0.085754834
2025,7,NE,9.03,810.4,7.897907206,0.078979072,,,,,0.084770561
2025,7,NH,16.72,810.4,14.62381046,0.146238105,,,,,0.086123937
2025,7,NJ,14.9,810.4,13.03198421,0.130319842,,,,,0.085877868
2025,7,NM,5.82,810.4,5.090345508,0.050903455,,,,,0.087477313
2025,7,NV,9.55,810.4,8.352714709,0.083527147,,,,,0.088707655
2025,7,NY,9.99,810.4,8.737551826,0.087375518,,,,,0.08710821
2025,7,OH,8.99,810.4,7.862922014,0.07862922,,,,,0.091291373
2025,7,OK,6.64,810.4,5.807541955,0.05807542,,,,,0.100641972
2025,7,OR,8.51,810.4,7.443099704,0.074430997,,,,,0.106424579
2025,7,PA,9.86,810.4,8.623849951,0.0862385,,,,,0.104332998
2025,7,RI,21.31,810.4,18.6383613,0.186383613,,,,,0.087334955
2025,7,SC,7.86,810.4,6.874590326,0.068745903,,,,,0.084711158
2025,7,SD,9.34,810.4,8.169042448,0.081690424,,,,,0.085335872
2025,7,TN,6.89,810.4,6.026199408,0.060261994,,,,,0.086335413
2025,7,TX,6.6,810.4,5.772556762,0.057725568,,,,,0.089458981
2025,7,UT,9.41,810.4,8.230266535,0.082302665,,,,,0.089833809
2025,7,VA,9.49,810.4,8.30023692,0.083002369,,,,,0.085585757
2025,7,VT,12.22,810.4,10.68797631,0.106879763,,,,,0.086210471
2025,7,WA,6.99,810.4,6.113662389,0.061136624,,,,,0.087334955
