x,Year,CEPCI,Curve1,2021_$/kg,,,,Year,CEPCI,source
2017.3624,2017,567.5,21.201,26.47976881,,,,2025,810.4,https://www.chemengonline.com/plant-cost-index-beta/
2017.4185,2017,567.5,22.418,27.99978573,,,,2024,800,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2017.4806,2017,567.5,22.418,27.99978573,,,,2023,797.9,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2017.5615,2017,567.5,22.958,28.67423859,,,,2022,816,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2017.6237,2017,567.5,23.499,29.34994044,,,,2021,708.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2017.6362,2017,567.5,23.904,29.85578009,,,,2020,596.2,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2017.8851,2017,567.5,26.608,33.23304035,,,,2019,607.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2018.0091,2018,603.1,25.526,29.99971613,,,,2018,603.1,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2018.0834,2018,603.1,24.175,28.41193832,,,,2017,567.5,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2018.1889,2018,603.1,23.904,28.09344255,,,,2016,541.7,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2018.2696,2018,603.1,23.364,27.45880153,,,,2015,556.8,https://www.training.itservices.manchester.ac.uk/public/gced/CEPCI.html?reactors/CEPCI/index.html
2018.4676,2018,603.1,19.309,22.69311756,,,,,,
2018.5357,2018,603.1,18.092,21.26282474,,,,,,
2018.6406,2018,603.1,14.172,16.65580103,,,,,,
2018.7087,2018,603.1,12.956,15.22668347,,,,,,
2018.7707,2018,603.1,12.145,14.27354668,,,,,,
2018.9012,2018,603.1,12.55,14.74952744,,,,,,
2019.013,2019,607.5,12.55,14.64269959,,,,,,
2019.311,2019,607.5,12.009,14.0114884,,,,,,
2019.4663,2019,607.5,11.874,13.85397728,,,,,,
2019.5344,2019,607.5,10.658,12.43521053,,,,,,
2019.6274,2019,607.5,9.576,11.17278815,,,,,,
2019.7205,2019,607.5,9.576,11.17278815,,,,,,
2019.8199,2019,607.5,9.576,11.17278815,,,,,,
2019.8819,2019,607.5,8.901,10.38523259,,,,,,
2019.9315,2019,607.5,8.225,9.596510288,,,,,,
2020.0059,2020,596.2,7.684,9.135221738,,,,,,
2020.3039,2020,596.2,7.143,8.492046964,,,,,,
2020.6143,2020,596.2,6.332,7.527879235,,,,,,
2020.9249,2020,596.2,6.332,7.527879235,,,,,,
2021.1368,2021,708.8,10.658,10.658,,,,,,
2021.1868,2021,708.8,12.685,12.685,,,,,,
2021.2926,2021,708.8,13.767,13.767,,,,,,
2021.3486,2021,708.8,14.172,14.172,,,,,,
2021.6468,2021,708.8,14.443,14.443,,,,,,
2021.6973,2021,708.8,19.309,19.309,,,,,,
2021.7104,2021,708.8,23.364,23.364,,,,,,
2021.7216,2021,708.8,16.2,16.2,,,,,,
2021.7294,2021,708.8,25.256,25.256,,,,,,
2021.7855,2021,708.8,26.608,26.608,,,,,,
2021.8046,2021,708.8,29.041,29.041,,,,,,
2021.8546,2021,708.8,30.798,30.798,,,,,,
2021.9355,2021,708.8,31.879,31.879,,,,,,
2021.936,2021,708.8,34.718,34.718,,,,,,
2021.9488,2021,708.8,36.881,36.881,,,,,,
2021.9864,2021,708.8,38.908,38.908,,,,,,
2021.987,2021,708.8,42.288,42.288,,,,,,
2022.0187,2022,816,45.802,39.78487451,,,,,,
2022.0442,2022,816,49.452,42.95536471,,,,,,
