curve,ref,compound,resin,bv,cb,c_norm,c0,ebct,flow_in,bed_depth,bed_diam,bed_vol,vel_bed,conc_units,notes
1,hermassi_etal_2022,La,S950,0.316205534,0.045614035,0.045614035,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,2.529644269,0.036842105,0.036842105,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,6.007905138,0.035087719,0.035087719,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,10.11857708,0.035087719,0.035087719,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,16.12648221,0.042105263,0.042105263,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,20.23715415,0.09122807,0.09122807,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,26.56126482,0.238596491,0.238596491,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,32.88537549,0.30877193,0.30877193,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,48.06324111,0.58245614,0.58245614,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,63.24110672,0.752631579,0.752631579,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,95.17786561,0.873684211,0.873684211,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,129.0118577,0.98245614,0.98245614,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,151.4624506,0.989473684,0.989473684,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,176.7588933,0.968421053,0.968421053,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
1,hermassi_etal_2022,La,S950,236.5217391,0.989473684,0.989473684,1,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,LREE
2,hermassi_etal_2022,Dy,S950,0,0,0,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,6.101694915,0,0,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,10.50847458,0,0,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,14.23728814,0.000601504,0.001879699,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,20.6779661,0.018646617,0.058270677,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,63.05084746,0.217744361,0.680451128,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,95.25423729,0.267669173,0.836466165,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,128.8135593,0.309172932,0.966165414,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,150.8474576,0.316390977,0.988721805,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
2,hermassi_etal_2022,Dy,S950,236.2711864,0.316992481,0.990601504,0.32,176.715,1.67e-08,1,0.015,0.000176715,9.43138198040347e-05,mg/L,HREE
