Mg,0.6,0
Mg,1.28,0
Mg,2.05,0
Mg,3.17,0
Mg,4,16.67
Mg,5,22.16
Mg,6.1,53.7
Al,0.6,0.78
Al,1.28,0.9
Al,2.05,1.17
Al,3.17,2.49
Al,4,39.48
Al,5,86.07
Al,6.1,97.82
Ca,0.6,8.06
Ca,1.28,20.5
Ca,2.05,29.06
Ca,3.17,40.51
Ca,4,47.08
Ca,5,78.69
Ca,6.1,99.03
Fe,0.6,1.82
Fe,1.28,2.44
Fe,2.05,3.04
Fe,3.17,7.59
Fe,4,54.31
Fe,5,78.08
Fe,6.1,94.83
Mn,0.6,0.83
Mn,1.28,1.05
Mn,2.05,1.41
Mn,3.17,2.87
Mn,4,6.63
Mn,5,36.35
Mn,6.1,61.15
Sc,0.6,29.68
Sc,1.28,31.61
Sc,2.05,52.37
Sc,3.17,73.7
Sc,4,85.92
Sc,5,96.4
Sc,6.1,96.14
Y,0.6,64.4
Y,1.28,74.46
Y,2.05,73.78
Y,3.17,81.03
Y,4,82.33
Y,5,96.93
Y,6.1,98.51
La,0.6,40.58
La,1.28,51.51
La,2.05,53.84
La,3.17,59.06
La,4,69.23
La,5,96.4
La,6.1,99.51
Ce,0.6,57.7
Ce,1.28,68.07
Ce,2.05,69.48
Ce,3.17,73.66
Ce,4,79.75
Ce,5,97.8
Ce,6.1,99.55
Pr,0.6,69.41
Pr,1.28,78
Pr,2.05,78.99
Pr,3.17,81.47
Pr,4,85.51
Pr,5,98.46
Pr,6.1,99.54
Nd,0.6,74.79
Nd,1.28,81.55
Nd,2.05,82.05
Nd,3.17,84.75
Nd,4,88.43
Nd,5,98.8
Nd,6.1,99.55
Sm,0.6,75.59
Sm,1.28,87.35
Sm,2.05,87.99
Sm,3.17,89.67
Sm,4,92.67
Sm,5,99.21
Sm,6.1,99.51
Eu,0.6,75.39
Eu,1.28,88.77
Eu,2.05,88.39
Eu,3.17,90.4
Eu,4,93.11
Eu,5,98.44
Eu,6.1,99.44
Gd,0.6,76.29
Gd,1.28,88.01
Gd,2.05,86.85
Gd,3.17,89.73
Gd,4,91.99
Gd,5,99.07
Gd,6.1,99.37
Tb,0.6,78.23
Tb,1.28,87.66
Tb,2.05,87.97
Tb,3.17,89.87
Tb,4,92.56
Tb,5,97.96
Tb,6.1,99.12
Dy,0.6,74.23
Dy,1.28,87.16
Dy,2.05,87.61
Dy,3.17,89.73
Dy,4,91.88
Dy,5,97.54
Dy,6.1,98.9
HO,0.6,78.19
HO,1.28,85.72
HO,2.05,86.31
HO,3.17,88.86
HO,4,90.53
HO,5,96.98
HO,6.1,98.69
Er,0.6,76.66
Er,1.28,84.91
Er,2.05,85.8
Er,3.17,88.44
Er,4,89.63
Er,5,96.52
Er,6.1,98.54
Tm,0.6,76.65
Tm,1.28,85.19
Tm,2.05,85.63
Tm,3.17,88.84
Tm,4,89.6
Tm,5,96.39
Tm,6.1,98.47
Yb,0.6,77.48
Yb,1.28,85.93
Yb,2.05,86.71
Yb,3.17,89.42
Yb,4,90.04
Yb,5,96.47
Yb,6.1,98.42
Lu,0.6,78.34
Lu,1.28,86.43
Lu,2.05,87.24
Lu,3.17,89.67
Lu,4,89.91
Lu,5,96.53
Lu,6.1,98.51
